"","Null.r","Truly.exceptional","Except.depaup.crown.0.0","Except.diverse.crown.0.0","Pval.crown.0.0","Except.depaup.stem.0.0","Except.diverse.stem.0.0","Pval.stem.0.0","Except.depaup.crown.0.5","Except.diverse.crown.0.5","Pval.crown.0.5","Except.depaup.stem.0.5","Except.diverse.stem.0.5","Pval.stem.0.5","Except.depaup.crown.0.9","Except.diverse.crown.0.9","Pval.crown.0.9","Except.depaup.stem.0.9","Except.diverse.stem.0.9","Pval.stem.0.9"
"L.j",0.07862,FALSE,FALSE,FALSE,0.427026979821945,FALSE,FALSE,0.36806289422529,FALSE,FALSE,0.571602922102114,FALSE,FALSE,0.726761908695748,FALSE,FALSE,0.998122217061898,FALSE,FALSE,0.755541336657753
"M.a",0.03796,FALSE,FALSE,TRUE,9.99782704458766e-18,FALSE,TRUE,1.47133891729722e-16,FALSE,TRUE,3.72179544761983e-10,FALSE,TRUE,1.44778110861598e-09,FALSE,TRUE,0.000867330257286196,FALSE,TRUE,0.00168074674777387
"M.b",0.03159,FALSE,TRUE,FALSE,0.0167243217987985,FALSE,FALSE,0.145761130412355,FALSE,FALSE,0.112044282523742,FALSE,FALSE,0.094784182841813,FALSE,FALSE,0.0935521174668967,FALSE,FALSE,0.0628657501331187
"M.c",0.17196,FALSE,FALSE,TRUE,0.00489136224836612,FALSE,TRUE,0.0364330729204493,FALSE,TRUE,0.0390078340396513,FALSE,FALSE,0.187388509038953,FALSE,FALSE,0.396777440156926,FALSE,FALSE,0.943374032167692
"M.d",0.17694,FALSE,FALSE,TRUE,0.000329851499154928,FALSE,TRUE,4.011197922651e-05,FALSE,TRUE,0.011589911452988,FALSE,TRUE,0.00433561867366897,FALSE,FALSE,0.287882397337745,FALSE,FALSE,0.272974628579672
"M.e",0.04865,FALSE,FALSE,FALSE,0.240263089748849,FALSE,FALSE,0.931945168627461,FALSE,FALSE,0.439871271144469,FALSE,FALSE,0.711030049130939,FALSE,FALSE,0.936248151138685,FALSE,FALSE,0.307413292907241
"M.f",0.13482,FALSE,FALSE,TRUE,0.00203025448072144,FALSE,FALSE,0.101733667144555,FALSE,TRUE,0.0214798483888386,FALSE,FALSE,0.354753493566377,FALSE,FALSE,0.314745568238694,FALSE,FALSE,0.845610065095173
"M.g",0.04483,FALSE,FALSE,TRUE,2.18764306123159e-27,FALSE,TRUE,1.9448330185158e-26,FALSE,TRUE,7.03121928804174e-16,FALSE,TRUE,1.97552933806155e-15,FALSE,TRUE,2.35595588207043e-05,FALSE,TRUE,3.81351652771454e-05
"M.h",0.15703,FALSE,FALSE,TRUE,0.000788574692728463,FALSE,TRUE,0.02421604398912,FALSE,TRUE,0.0123527934484473,FALSE,FALSE,0.126182242606488,FALSE,FALSE,0.105016489869272,FALSE,FALSE,0.397174883815844
"M.i",0.02478,FALSE,FALSE,FALSE,0.782115276605846,FALSE,FALSE,0.575231602057104,FALSE,FALSE,0.916971843576572,FALSE,FALSE,0.89629079368448,FALSE,FALSE,0.838251278681722,FALSE,FALSE,0.831938973439178
