"","Null.r","Truly.exceptional","Except.depaup.crown.0.0","Except.diverse.crown.0.0","Pval.crown.0.0","Except.depaup.stem.0.0","Except.diverse.stem.0.0","Pval.stem.0.0","Except.depaup.crown.0.5","Except.diverse.crown.0.5","Pval.crown.0.5","Except.depaup.stem.0.5","Except.diverse.stem.0.5","Pval.stem.0.5","Except.depaup.crown.0.9","Except.diverse.crown.0.9","Pval.crown.0.9","Except.depaup.stem.0.9","Except.diverse.stem.0.9","Pval.stem.0.9"
"F.i",0.06765,FALSE,FALSE,TRUE,0.000317959105501055,FALSE,TRUE,0.00154845821725224,FALSE,TRUE,0.0104121377074451,FALSE,TRUE,0.0323541352551085,FALSE,FALSE,0.264443666159394,FALSE,FALSE,0.483741748666248
"F.j",0.07388,FALSE,FALSE,TRUE,0.00336760416565424,FALSE,TRUE,0.00160708133660274,FALSE,TRUE,0.0412576923866282,FALSE,TRUE,0.0346372512600054,FALSE,FALSE,0.461085505293676,FALSE,FALSE,0.545845425848225
"G.a",0.03048,FALSE,FALSE,FALSE,0.259398840183009,FALSE,FALSE,0.747765112950332,FALSE,FALSE,0.45537695441909,FALSE,FALSE,0.465869873263026,FALSE,FALSE,0.228954923154957,FALSE,FALSE,0.16952036441047
"G.b",0.05527,FALSE,FALSE,TRUE,3.7302855525859e-11,FALSE,TRUE,2.06401670698526e-10,FALSE,TRUE,1.637010846209e-06,FALSE,TRUE,4.27778877790659e-06,FALSE,TRUE,0.0151130378651889,FALSE,TRUE,0.0264551494414487
"G.c",0.0746,FALSE,FALSE,TRUE,0.0368258713214826,FALSE,FALSE,0.127256109189717,FALSE,FALSE,0.135811806536505,FALSE,FALSE,0.382151276549491,FALSE,FALSE,0.507128514560809,FALSE,FALSE,0.905464953129981
"G.d",0.02305,FALSE,FALSE,TRUE,1.04252652797345e-20,FALSE,TRUE,7.06577806688803e-14,FALSE,TRUE,7.87446838568161e-12,FALSE,TRUE,4.58579231303238e-08,FALSE,TRUE,0.000277210841108478,FALSE,TRUE,0.00460994128953211
"G.e",0.09282,FALSE,FALSE,FALSE,0.958597507374398,FALSE,FALSE,0.824765898995639,FALSE,FALSE,0.969180364412911,FALSE,FALSE,0.821154464553612,FALSE,FALSE,0.659279938335702,FALSE,FALSE,0.434679649019008
"G.f",0.16982,FALSE,FALSE,FALSE,0.835449610577484,FALSE,FALSE,0.477809576032304,FALSE,FALSE,0.873786926455322,FALSE,FALSE,0.879099613095103,FALSE,FALSE,0.470131589583842,FALSE,FALSE,0.468011756255432
"G.g",0.20633,FALSE,TRUE,FALSE,0.0111815559183601,FALSE,FALSE,0.192409613162324,FALSE,FALSE,0.0910251802135982,FALSE,FALSE,0.120170413993914,FALSE,FALSE,0.0669034088921994,FALSE,FALSE,0.0642701614194783
"G.h",0.11043,FALSE,FALSE,FALSE,0.121782725612662,FALSE,FALSE,0.483808246382181,FALSE,FALSE,0.295025109539509,FALSE,FALSE,0.891273924940803,FALSE,FALSE,0.902071685245564,FALSE,FALSE,0.477022471841899
"G.i",0.14258,FALSE,FALSE,FALSE,0.0691219055047554,FALSE,FALSE,0.394253265939419,FALSE,FALSE,0.223211154159901,FALSE,FALSE,0.248285425608274,FALSE,FALSE,0.149714195984893,FALSE,FALSE,0.126094221072277
"G.j",0.25884,TRUE,FALSE,FALSE,0.398766101169816,FALSE,FALSE,0.899477690986194,FALSE,FALSE,0.616317540623343,FALSE,FALSE,0.58351306435664,FALSE,FALSE,0.362491754996671,FALSE,FALSE,0.207315714353707
"H.a",0.06492,FALSE,FALSE,FALSE,0.713885841064272,FALSE,FALSE,0.425293610148136,FALSE,FALSE,0.81872282729317,FALSE,FALSE,0.806640919710203,FALSE,FALSE,0.713938219262575,FALSE,FALSE,0.504345793836857
"H.b",0.20017,FALSE,FALSE,FALSE,0.563936064886394,FALSE,FALSE,0.848831594184891,FALSE,FALSE,0.728505081288096,FALSE,FALSE,0.793620310774874,FALSE,FALSE,0.465757054241647,FALSE,FALSE,0.297190270518787
"H.c",0.0865,FALSE,FALSE,FALSE,0.18513633010631,FALSE,FALSE,0.0551911570902382,FALSE,FALSE,0.374123764170684,FALSE,FALSE,0.245869136272843,FALSE,FALSE,0.976316361165647,FALSE,FALSE,0.976845893285611
