,,,,,,,,,"Net diversiffication, speciation, extinction,  number of shifts, and effective sample sizes estimated using BAMM",,,,,,,,,,,,,,,,,,,,,,,,,,,Net diversiffication rates estimated using MS estimators (stem-group age),,,,,,,,,,,,,,,,,,Net diversiffication rates estimated using MS estimators (crown-group age),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simulated trees,,,,,Simulated rates,,,,Taxon sampling = 100%,,,,,,,Effective sample size,,Taxon sampling = 50%,,,,,,,Effective sample size,,Taxon sampling = 25%,,,,,,,Effective sample size,,Taxon sampling = 100%,,,,,,Taxon sampling = 50%,,,,,,Taxon sampling = 25%,,,,,,Taxon sampling = 100%,,,,,,Taxon sampling = 50%,,,,,,Taxon sampling = 25%,,,,,,,,,,,,,,,,,,,,,,,,,,
Backbone tree,Clade,No. of tips,Age (stem),Age (crown),Speciation,Extinction,Fraction,Net Div.,Net Div.,(Error),Speciation,(Error),Extinction ,(Error),No. of Shifts ,Rate shifts,Log-likelihood,Net Div.,(Error),Speciation,(Error),Extinction ,(Error),No. of Shifts ,Rate shifts,Log-likelihood,Net Div.,(Error),Speciation,(Error),Extinction ,(Error),No. of Shifts ,Rate shifts,Log-likelihood,epsilon = 0,(Error),epsilon = 0.5,(Error),epsilon = 0.9,(Error),epsilon = 0,(Error),epsilon = 0.5,(Error),epsilon = 0.9,(Error),epsilon = 0,(Error),epsilon = 0.5,(Error),epsilon = 0.9,(Error),epsilon = 0,(Error),epsilon = 0.5,(Error),epsilon = 0.9,(Error),epsilon = 0,(Error),epsilon = 0.5,(Error),epsilon = 0.9,(Error),epsilon = 0,(Error),epsilon = 0.5,(Error),epsilon = 0.9,(Error),,,,,,,,,,,,,,,,,,,,,
,i,122,27.006,22.628,0.18427,0.06236,0.33843,0.12191,0.21406,75.59%,0.26410,43.33%,0.05004,-19.76%,,1730,2597,0.20726,70.02%,0.28437,54.32%,0.07710,23.64%,,4021,1526,0.21635,77.47%,0.28023,52.07%,0.06387,2.42%,,595,295,0.17788,45.92%,0.15252,25.11%,0.09526,-21.86%,0.17788,45.92%,0.15252,25.11%,0.09526,-21.86%,0.17788,45.92%,0.15252,25.11%,0.09526,-21.86%,0.18167,49.02%,0.16928,38.86%,0.11141,-8.61%,0.18167,49.02%,0.16928,38.86%,0.11141,-8.61%,0.19374,58.92%,0.18052,48.08%,0.11882,-2.54%,,,,,,,,,,,,,,,,,,,,,
,j,679,27.006,20.421,0.26324,0.05128,0.19482,0.21196,0.21457,1.23%,0.26470,0.55%,0.05013,-2.24%,,1730,2597,0.20627,-2.68%,0.28356,7.72%,0.07729,50.72%,,4021,1526,0.21567,1.75%,0.27962,6.22%,0.06395,24.70%,,595,295,0.24145,13.91%,0.21584,1.83%,0.15667,-26.08%,0.24145,13.91%,0.21584,1.83%,0.15667,-26.08%,0.24145,13.91%,0.21584,1.83%,0.15667,-26.08%,0.28537,34.63%,0.27134,28.02%,0.20469,-3.43%,0.28537,34.63%,0.27134,28.02%,0.20469,-3.43%,0.28537,34.63%,0.27134,28.02%,0.20469,-3.43%,,,,,,,,,,,,,,,,,,,,,
C,a,21,30.367,17.708,0.10524,0.06481,0.61582,0.04043,0.08807,117.84%,0.12559,19.34%,0.03752,-42.10%,0,1011,661,0.08106,100.50%,0.12855,22.16%,0.04749,-26.71%,0,2658,1765,0.08559,111.70%,0.14086,33.85%,0.05527,-14.72%,0,4501,1713,0.10026,147.98%,0.07896,95.32%,0.03618,-10.51%,0.10026,147.98%,0.07896,95.32%,0.03618,-10.51%,0.10026,147.98%,0.07896,95.32%,0.03618,-10.51%,0.13278,228.44%,0.11885,193.98%,0.05907,46.11%,0.13278,228.44%,0.11885,193.98%,0.05907,46.11%,0.22214,449.46%,0.19884,391.82%,0.09883,144.44%,,,,,,,,,,,,,,,,,,,,,
,b,10,30.367,9.737,0.19188,0.08167,0.42564,0.11021,0.08419,-23.61%,0.12178,-36.53%,0.03759,-53.97%,,1011,661,0.08106,-26.45%,0.12855,-33.00%,0.04749,-41.85%,,2658,1765,0.07752,-29.67%,0.13274,-30.82%,0.05522,-32.39%,,4501,1713,0.07583,-31.20%,0.05614,-49.06%,0.02114,-80.82%,0.07583,-31.20%,0.05614,-49.06%,0.02114,-80.82%,0.07583,-31.20%,0.05614,-49.06%,0.02114,-80.82%,0.16529,49.98%,0.14429,30.92%,0.06037,-45.23%,0.16529,49.98%,0.14429,30.92%,0.06037,-45.23%,0.16529,49.98%,0.14429,30.92%,0.06037,-45.23%,,,,,,,,,,,,,,,,,,,,,
,c,135,61.5,49.000,0.13207,0.05360,0.40584,0.07847,0.08715,11.06%,0.12461,-5.65%,0.03746,-30.12%,,1011,661,0.08589,9.46%,0.13326,0.90%,0.04736,-11.63%,,2658,1765,0.08399,7.03%,0.13906,5.29%,0.05507,2.75%,,4501,1713,0.07976,1.65%,0.06861,-12.56%,0.04337,-44.73%,0.07976,1.65%,0.06861,-12.56%,0.04337,-44.73%,0.07976,1.65%,0.06861,-12.56%,0.04337,-44.73%,0.08596,9.55%,0.08022,2.24%,0.05338,-31.97%,0.08596,9.55%,0.08022,2.24%,0.05338,-31.97%,0.08596,9.55%,0.08022,2.24%,0.05338,-31.97%,,,,,,,,,,,,,,,,,,,,,
,d,611,61.5,49.877,0.11702,0.03131,0.26752,0.08572,0.08744,2.02%,0.12487,6.71%,0.03743,19.56%,,1011,661,0.08632,0.71%,0.13358,14.15%,0.04725,50.94%,,2658,1765,0.08450,-1.42%,0.13955,19.25%,0.05505,75.84%,,4501,1713,0.10431,21.69%,0.09307,8.57%,0.06711,-21.71%,0.10431,21.69%,0.09307,8.57%,0.06711,-21.71%,0.10431,21.69%,0.09307,8.57%,0.06711,-21.71%,0.11472,33.84%,0.10898,27.14%,0.08172,-4.67%,0.11472,33.84%,0.10898,27.14%,0.08172,-4.67%,0.11472,33.84%,0.10898,27.14%,0.08172,-4.67%,,,,,,,,,,,,,,,,,,,,,
,e,58,45.251,39.625,0.28321,0.23625,0.83419,0.04696,0.08803,87.46%,0.17864,-36.92%,0.09062,-61.64%,,1011,661,0.08532,81.70%,0.13330,-52.93%,0.04798,-79.69%,,2658,1765,0.08317,77.11%,0.13833,-51.16%,0.05516,-76.65%,,4501,1713,0.08973,91.08%,0.07479,59.27%,0.04204,-10.49%,0.08973,91.08%,0.07479,59.27%,0.04204,-10.49%,0.08973,91.08%,0.07479,59.27%,0.04204,-10.49%,0.08498,80.96%,0.07810,66.32%,0.04670,-0.56%,0.08498,80.96%,0.07810,66.32%,0.04670,-0.56%,0.08498,80.96%,0.07810,66.32%,0.04670,-0.56%,,,,,,,,,,,,,,,,,,,,,
,f,46,39.725,27.015,0.13828,0.01309,0.09469,0.12518,0.08959,-28.43%,0.18090,30.82%,0.09131,597.37%,,1011,661,0.08685,-30.62%,0.13484,-2.49%,0.04799,266.53%,,2658,1765,0.08523,-31.92%,0.14034,1.49%,0.05511,320.91%,,4501,1713,0.09638,-23.01%,0.07947,-36.52%,0.04291,-65.72%,0.09638,-23.01%,0.07947,-36.52%,0.04291,-65.72%,0.09638,-23.01%,0.07947,-36.52%,0.04291,-65.72%,0.11607,-7.28%,0.10612,-15.23%,0.06119,-51.12%,0.11607,-7.28%,0.10612,-15.23%,0.06119,-51.12%,0.11607,-7.28%,0.10612,-15.23%,0.06119,-51.12%,,,,,,,,,,,,,,,,,,,,,
,g,10,15.665,7.242,0.09215,0.02674,0.29019,0.06541,0.09174,40.27%,0.18535,101.15%,0.09361,250.07%,,1011,661,0.08820,34.85%,0.13621,47.81%,0.04800,79.52%,,2658,1765,0.08702,33.04%,0.14216,54.27%,0.05514,106.21%,,4501,1713,0.14699,124.73%,0.10883,66.38%,0.04097,-37.36%,0.14699,124.73%,0.10883,66.38%,0.04097,-37.36%,0.14699,124.73%,0.10883,66.38%,0.04097,-37.36%,0.22224,239.79%,0.19400,196.61%,0.08117,24.09%,0.22224,239.79%,0.19400,196.61%,0.08117,24.09%,0.22224,239.79%,0.19400,196.61%,0.08117,24.09%,,,,,,,,,,,,,,,,,,,,,
,h,27,15.665,14.109,0.25621,0.12356,0.48226,0.13265,0.09147,-31.05%,0.18522,-27.71%,0.09375,-24.12%,,1011,661,0.08693,-34.46%,0.13494,-47.33%,0.04801,-61.15%,,2658,1765,0.08682,-34.55%,0.14195,-44.60%,0.05512,-55.39%,,4501,1713,0.21040,58.61%,0.16847,27.00%,0.08177,-38.36%,0.21040,58.61%,0.16847,27.00%,0.08177,-38.36%,0.21040,58.61%,0.16847,27.00%,0.08177,-38.36%,0.18447,39.06%,0.16635,25.41%,0.08708,-34.35%,0.18447,39.06%,0.16635,25.41%,0.08708,-34.35%,0.18787,41.63%,0.16942,27.72%,0.08869,-33.14%,,,,,,,,,,,,,,,,,,,,,
