"","Null.r","Truly.exceptional","Except.depaup.crown.0.0","Except.diverse.crown.0.0","Pval.crown.0.0","Except.depaup.stem.0.0","Except.diverse.stem.0.0","Pval.stem.0.0","Except.depaup.crown.0.5","Except.diverse.crown.0.5","Pval.crown.0.5","Except.depaup.stem.0.5","Except.diverse.stem.0.5","Pval.stem.0.5","Except.depaup.crown.0.9","Except.diverse.crown.0.9","Pval.crown.0.9","Except.depaup.stem.0.9","Except.diverse.stem.0.9","Pval.stem.0.9"
"S.j",0.07567,FALSE,FALSE,FALSE,0.0765186820993518,FALSE,FALSE,0.309807113578499,FALSE,FALSE,0.229809743017917,FALSE,FALSE,0.689230227367678,FALSE,FALSE,0.827431913988806,FALSE,FALSE,0.62923714036764
"T.a",0.10724,FALSE,FALSE,FALSE,0.335028409528647,FALSE,FALSE,0.821823605946774,FALSE,FALSE,0.464318273929068,FALSE,FALSE,0.587674463573239,FALSE,FALSE,0.767408069000221,FALSE,FALSE,0.453257955775402
"T.b",0.12872,FALSE,FALSE,FALSE,0.164057065599386,FALSE,FALSE,0.272803585825765,FALSE,FALSE,0.335759608691518,FALSE,FALSE,0.620901525309598,FALSE,FALSE,0.858866831355905,FALSE,FALSE,0.622241449334542
"T.c",0.14386,FALSE,FALSE,TRUE,0.00199181255784291,FALSE,FALSE,0.483908803996737,FALSE,TRUE,0.0299641862651604,FALSE,FALSE,0.317324261487738,FALSE,FALSE,0.390191094233264,FALSE,FALSE,0.188982585820395
"T.d",0.12449,FALSE,FALSE,FALSE,0.343608174747305,TRUE,FALSE,0.0344819013858895,FALSE,FALSE,0.51928465740623,TRUE,FALSE,0.0230560832837383,FALSE,FALSE,0.301137199983476,TRUE,FALSE,0.0182233912486671
"T.e",0.17663,FALSE,FALSE,TRUE,2.56689621749477e-06,FALSE,TRUE,8.53093351757739e-06,FALSE,TRUE,0.000661974434921153,FALSE,TRUE,0.00152799096584093,FALSE,FALSE,0.0634788707794017,FALSE,FALSE,0.111850755730936
"T.f",0.07109,FALSE,FALSE,FALSE,0.0713335233181387,FALSE,FALSE,0.263126450868921,FALSE,FALSE,0.227122686760041,FALSE,FALSE,0.160237727460316,FALSE,FALSE,0.129498652503575,FALSE,FALSE,0.0730474000141241
"T.g",0.04546,FALSE,FALSE,FALSE,0.684921335875897,FALSE,FALSE,0.451616997572818,FALSE,FALSE,0.80417776457838,FALSE,FALSE,0.851541677437619,FALSE,FALSE,0.676312353031831,FALSE,FALSE,0.478715361461962
"T.h",0.10265,FALSE,FALSE,FALSE,0.176906493969108,FALSE,FALSE,0.225211531771637,FALSE,FALSE,0.370299660752197,FALSE,FALSE,0.579353444958235,FALSE,FALSE,0.998158919078748,FALSE,FALSE,0.680847884506906
"T.i",0.2403,TRUE,FALSE,FALSE,0.609798632298669,FALSE,FALSE,0.382204225510982,FALSE,FALSE,0.736207895060547,FALSE,FALSE,0.765097586731092,FALSE,FALSE,0.778554231476264,FALSE,FALSE,0.629169757938232
"T.j",0.11248,FALSE,FALSE,FALSE,0.0556987695153448,FALSE,TRUE,0.0398044815735164,FALSE,FALSE,0.191860522444866,FALSE,FALSE,0.211004683522297,FALSE,FALSE,0.789304984885699,FALSE,FALSE,0.990825621518148
